%time,control_mode
1736135769234776084,0
1736135769284734063,0
1736135769334745977,0
1736135769384735306,0
1736135769434756978,0
1736135769484933668,0
1736135769534748803,0
1736135769584790033,0
1736135769634695983,0
1736135769684826313,0
1736135769734759395,0
1736135769784773232,0
1736135769834777080,0
1736135769884797199,0
1736135769934787882,0
1736135769984759337,0
1736135770034769764,0
1736135770084691487,0
1736135770134749904,0
1736135770184708979,0
1736135770234754372,0
1736135770284722714,0
1736135770334766754,0
1736135770384760756,0
1736135770434691167,0
1736135770484754924,0
1736135770534767502,0
1736135770584787806,0
1736135770634733004,0
1736135770684750433,0
1736135770734837233,0
1736135770784748097,0
1736135770834752649,0
1736135770884777121,0
1736135770934756415,0
1736135770984776578,0
1736135771034714460,0
1736135771084778201,0
1736135771134722312,0
1736135771184799779,0
1736135771234728180,0
1736135771284722918,0
1736135771334742514,0
1736135771384712515,0
1736135771434680641,0
1736135771484794489,0
1736135771534755202,0
1736135771584756722,0
1736135771634664154,0
1736135771684815732,0
1736135771734784872,0
1736135771784764121,0
1736135771834674977,0
1736135771884793423,0
1736135771934726754,0
1736135771984871850,0
1736135772034738930,0
1736135772084888108,0
1736135772134757361,0
1736135772184824362,0
1736135772234745212,0
1736135772284748400,0
1736135772334721953,0
1736135772384706475,0
1736135772434753537,0
1736135772484775882,0
1736135772534722553,0
1736135772584713308,0
1736135772634705996,0
1736135772684860153,0
1736135772734719727,0
1736135772784788311,0
1736135772834670757,0
1736135772884734812,0
1736135772934701833,0
1736135772984744206,0
1736135773034792044,0
1736135773084763035,0
1736135773134733545,0
1736135773184926122,0
1736135773234750602,0
1736135773284968606,0
1736135773334750143,0
1736135773384730381,0
1736135773434680592,0
1736135773484765321,0
1736135773534705253,0
1736135773584783018,0
1736135773634719913,0
1736135773684717224,0
1736135773734703705,0
1736135773784729471,0
1736135773834734517,0
1736135773884684498,0
1736135773934713470,0
1736135773984711362,0
1736135774034756191,0
1736135774084743066,0
1736135774134718609,0
1736135774184703391,0
1736135774234697700,0
1736135774284750783,0
1736135774334695136,0
1736135774384772776,0
1736135774434775331,0
1736135774484799028,0
1736135774534757679,0
1736135774584703445,0
1736135774634695681,0
1736135774684704238,0
1736135774734758512,0
1736135774784704008,0
1736135774834721512,0
1736135774884750699,0
1736135774934636059,0
1736135774984786528,0
1736135775034695731,0
1736135775084867506,0
1736135775134693616,0
1736135775184742144,0
1736135775234710348,0
1736135775284705573,0
1736135775334674849,0
1736135775384744887,0
1736135775434671341,0
1736135775484785275,0
1736135775534723029,0
1736135775584768451,0
1736135775634674245,0
1736135775684754594,9
1736135775734646692,9
1736135775784582462,9
1736135775834660928,9
1736135775884683657,9
1736135775934682167,9
1736135775984792244,9
1736135776034680058,9
1736135776084656211,9
1736135776134671148,9
1736135776184637401,9
1736135776234651278,9
1736135776284645415,9
1736135776334722591,9
1736135776384700978,9
1736135776434690407,9
1736135776484648866,9
1736135776534763935,9
1736135776584767430,9
1736135776634746059,9
1736135776684858192,9
1736135776734930128,9
1736135776784776662,9
1736135776834716777,9
1736135776884837146,9
1736135776934809151,9
1736135776984962934,9
1736135777034810508,9
1736135777084854675,9
1736135777134835400,9
1736135777184773656,9
1736135777234757126,9
1736135777284765875,9
1736135777334813810,9
1736135777384868178,9
1736135777434828535,9
1736135777484869055,9
1736135777534870311,9
1736135777584914889,9
1736135777634786835,9
1736135777684786767,9
1736135777734770419,9
1736135777784793576,9
1736135777834841341,9
1736135777884945774,9
1736135777934784628,9
1736135777984856338,9
1736135778034841950,9
1736135778084837918,9
1736135778134878684,9
1736135778184949477,9
1736135778234801800,9
1736135778284829080,9
1736135778334750145,9
1736135778384767355,9
1736135778434739017,9
1736135778484812515,9
1736135778534801621,9
1736135778584835132,9
1736135778634983433,9
1736135778684824896,9
1736135778734850131,9
1736135778784841381,9
1736135778834821189,9
1736135778884823230,9
1736135778934772319,9
1736135778984785021,9
1736135779034727715,9
1736135779084693329,9
1736135779134955283,9
1736135779184809515,9
1736135779234945706,9
1736135779284808855,9
1736135779334826671,9
1736135779384828214,9
1736135779434784692,9
1736135779484759705,9
1736135779534801936,9
1736135779584825272,9
1736135779634835573,9
1736135779684731535,9
1736135779734791320,9
1736135779784943393,9
1736135779834907255,9
1736135779884853803,9
1736135779934872780,9
1736135779984883763,9
1736135780034826990,9
1736135780084887601,9
1736135780134872006,9
1736135780184792690,9
1736135780234843472,9
1736135780284812647,9
1736135780334874201,9
1736135780384933409,9
1736135780434971357,9
1736135780484951625,9
1736135780534785872,9
1736135780584832767,9
1736135780634856227,9
1736135780684989247,9
1736135780734859715,9
1736135780784860441,9
1736135780834869713,9
1736135780884866473,9
1736135780934874623,9
1736135780984845732,9
1736135781034847087,9
1736135781084843931,9
1736135781134832798,9
1736135781184838709,9
1736135781234867313,9
1736135781284946664,9
1736135781334898501,9
1736135781384857341,9
1736135781434789320,9
1736135781484856629,9
1736135781534817433,9
1736135781584808344,9
1736135781634845074,9
1736135781684846045,9
1736135781734824193,9
1736135781784864579,9
1736135781834838639,9
1736135781884857414,9
1736135781934826274,9
1736135781984869806,9
1736135782034885101,9
1736135782084886848,9
1736135782134929034,9
1736135782184888208,9
1736135782234856460,9
1736135782284971865,9
1736135782334871186,9
1736135782384791507,9
1736135782434831046,9
1736135782484846609,9
1736135782534852383,9
1736135782584928091,9
1736135782636179386,8
1736135782685926434,8
1736135782686018240,0
1736135782734929024,0
1736135782784804609,0
1736135782834814622,0
1736135782884753598,0
1736135782934778289,0
1736135782984826815,0
1736135783034716114,0
1736135783084787527,0
1736135783134758990,0
1736135783184729982,0
1736135783234817357,0
1736135783284713606,0
1736135783334692493,0
1736135783384751534,0
1736135783434743186,0
1736135783484681554,0
1736135783534756285,0
1736135783584816839,0
1736135783634731423,0
1736135783684753944,0
1736135783734694207,0
1736135783784762085,0
1736135783834732867,0
1736135783884918000,0
1736135783934780833,0
1736135783985012465,0
1736135784034759062,0
1736135784084856501,0
1736135784134882772,0
1736135784184674264,0
1736135784234692582,0
1736135784284682914,0
1736135784334704949,0
1736135784384719969,0
