%time,desired_box
1735646558174684183,16
1735646558374760271,16
1735646558574733784,16
1735646558774698660,16
1735646558974611048,16
1735646559174720841,16
1735646559374717409,16
1735646559574726711,16
1735646559774776610,16
1735646559974720379,16
1735646560174779166,16
1735646560374803268,16
1735646560574746338,16
1735646560774749331,16
1735646560974651862,16
1735646561174668172,16
1735646561374667669,16
1735646561574723652,16
1735646561774724573,16
1735646561974565211,16
1735646562174581290,16
1735646562374738257,16
1735646562574781920,16
1735646562774616177,16
1735646562974629281,16
1735646563174696851,16
1735646563374700389,16
1735646563574684701,16
1735646563774707537,16
1735646563974678453,16
1735646564174676914,16
1735646564374690812,16
1735646564574667673,16
1735646564774741767,16
1735646564974648864,16
1735646565174647197,16
1735646565374721531,16
1735646565574699355,16
1735646565774631723,16
1735646565974677915,16
1735646566174695054,16
1735646566374617995,16
1735646566574703624,16
1735646566774702228,16
1735646566974681226,16
1735646567174692545,16
1735646567374694457,16
1735646567574703382,16
1735646567774658907,16
1735646567974689343,16
1735646568174720160,16
1735646568374710603,16
1735646568574724108,16
1735646568774621365,16
1735646568974726123,16
1735646569174699264,16
1735646569374681673,16
1735646569574577517,16
1735646569774693559,16
1735646569974511717,16
1735646570174729212,16
1735646570374699089,16
1735646570574697799,16
1735646570774686893,16
1735646570974687998,16
1735646571174678104,16
1735646571374565347,16
1735646571574694967,16
1735646571774658683,16
1735646571974722409,16
1735646572174706295,16
1735646572374692516,16
1735646572574689397,16
1735646572774662143,16
1735646572974682318,16
1735646573174653933,16
1735646573374676313,16
1735646573574659830,16
1735646573774709453,16
1735646573974542417,16
1735646574174648898,16
1735646574374717127,16
1735646574574743647,16
1735646574774715274,16
1735646574974703362,16
1735646575174590109,16
1735646575374654543,16
1735646575574741269,16
1735646575774721143,16
1735646575974718008,16
1735646576174682765,16
1735646576374602297,16
1735646576574722157,16
1735646576774686493,16
1735646576974729778,16
1735646577174591362,16
1735646577374736812,16
1735646577574716839,16
1735646577774758122,16
1735646577974711580,16
1735646578174725553,16
1735646578374700082,16
1735646578574715288,16
1735646578774699775,16
1735646578974732053,16
1735646579174688950,16
1735646579374771895,16
1735646579574735736,16
1735646579774748528,16
1735646579974755990,16
1735646580174752234,16
1735646580374705145,16
1735646580574702911,16
1735646580774450735,16
1735646580974723319,16
1735646581174699807,16
1735646581374740947,16
1735646581574753352,16
1735646581774689813,16
1735646581974634141,16
1735646582174696231,16
1735646582374729116,16
1735646582574751752,16
1735646582774720437,16
1735646582974706914,16
1735646583174759629,16
1735646583374732723,16
1735646583574694136,16
1735646583774648455,16
1735646583974782563,16
1735646584174725502,16
1735646584374722292,16
1735646584574481825,16
1735646584774713288,16
1735646584974590514,16
1735646585174640917,16
1735646585374739351,16
1735646585574732637,16
1735646585774734289,16
1735646585974734257,16
1735646586174529601,16
1735646586374741290,16
1735646586574795732,16
1735646586774722354,16
1735646586974725851,16
1735646587174740219,16
1735646587374690577,16
1735646587574697161,16
1735646587774709285,16
1735646587974748231,16
1735646588174749106,16
1735646588374577936,16
1735646588574669852,16
1735646588774754416,16
1735646588974753767,16
1735646589174707545,16
1735646589374734019,16
