%time,control_mode,desired_box,eef_distance,intersection_length,field.boxes0.id,field.boxes1.id,field.boxes2.id,field.boxes3.id,field.boxes4.id,field.boxes5.id,field.boxes6.id,field.boxes7.id,field.boxes8.id,baysian0,baysian1,baysian2,baysian3,baysian4,baysian5,baysian6,baysian7,baysian8
2.000013314,0,121,0.3890155553817749,22.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.1459577326065238e-06,1.0020020952761588e-06,7.210699191456252e-05,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.100037306,0,121,0.3828091621398926,23.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,3.602028894824749e-06,1.0020020952761588e-06,0.00035484474952564456,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.200041202,0,121,0.3764957189559936,24.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.2728751741610312e-05,1.0020020952761588e-06,0.001241207421841025,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.300026783,0,121,0.3717812895774841,25.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.3365932310552183e-05,1.0020020952761588e-06,0.0018230660081717076,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.400055732,0,121,0.3661815822124481,26.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,9.168922913121087e-06,1.0020020952761588e-06,0.0015725642357157122,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.500055557,0,121,0.3604264855384826,27.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,6.0704623631831985e-06,1.0020020952761588e-06,0.0012057610427895597,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.600031319,0,121,0.3551543951034546,28.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,3.7236290344738415e-06,1.0020020952761588e-06,0.0008924340699352515,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.700043437,0,121,0.3508805930614471,29.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,2.2709378516150653e-06,1.0020020952761588e-06,0.0006491026583013773,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.80005831,0,121,0.3450716137886047,30.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.6620478334621112e-06,1.0020020952761588e-06,0.0005431575726855856,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
2.900051032,0,121,0.3395643830299377,31.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.4629137420147626e-06,1.0020020952761588e-06,0.0005278247759471145,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
3.000062009,0,121,0.3346612751483917,32.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.1753774659378392e-06,1.0020020952761588e-06,0.0005003375244998726,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
3.100110996,0,121,0.3318914771080017,33.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,2.8701962911476178e-06,1.0020020952761588e-06,0.0007865878715325597,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
