%time,intersection_length
1735646003904072847,32
1735646004003804468,33
1735646004103666106,34
1735646004204245351,35
1735646004304128078,36
1735646004403813413,37
1735646004504097650,38
1735646004602776109,39
1735646004704425129,40
1735646004803935312,41
1735646004904193760,42
1735646005002405586,43
1735646005106134042,44
1735646005204107386,45
1735646005304442419,46
1735646005404134537,47
1735646005503573934,48
1735646005603885434,49
1735646005704415446,50
1735646005805901218,51
1735646005904326096,52
1735646006003923174,53
1735646006104172154,54
1735646006204076013,55
1735646006304382351,56
1735646006403731750,57
1735646006504980473,58
1735646006603767778,59
1735646006703824976,60
1735646006804224511,61
1735646006904295226,62
1735646007003723322,63
1735646007104240461,64
1735646007204126867,65
1735646007304101588,66
1735646007404279755,67
1735646007504519869,68
1735646007603861513,69
1735646007704892976,70
1735646007805943794,70
1735646007904295754,70
1735646008005773622,70
1735646008104261369,70
1735646008204479061,70
1735646008302855979,70
1735646008405483131,70
1735646008504309680,70
1735646008604147393,70
1735646008702722275,70
1735646008805280137,70
1735646008905706474,70
1735646009005936319,70
1735646009106153580,70
1735646009204732520,70
1735646009305430552,70
1735646009407120911,70
1735646009505462392,70
1735646009605406897,70
1735646009706367706,70
1735646009805334811,70
1735646009905836139,70
1735646010005746941,70
1735646010105312469,70
1735646010205167745,70
1735646010305639999,70
1735646010403108146,71
1735646010504653462,72
1735646010604670304,73
1735646010705690566,73
1735646010804408589,73
1735646010905465629,73
1735646011005418350,73
1735646011105501488,73
1735646011203932509,73
1735646011304206678,73
1735646011405884054,73
1735646011503161120,73
1735646011605461393,73
1735646011703346640,73
1735646011806411712,73
1735646011905642677,73
1735646012005476072,73
1735646012105160736,73
1735646012203061383,73
1735646012305783786,73
1735646012404964035,73
1735646012505210592,73
1735646012602354206,73
1735646012702355678,73
1735646012805003189,73
1735646012903278235,73
1735646013004992239,73
1735646013105456659,74
1735646013205283081,1
1735646013304723472,1
1735646013404828782,2
1735646013506108695,2
1735646013604410712,2
1735646013706449161,2
1735646013805126507,2
1735646013905515454,2
1735646014005269219,2
1735646014106327352,2
1735646014205684095,2
1735646014304514411,2
1735646014405024307,2
1735646014505632560,2
1735646014606494862,2
1735646014705209941,2
1735646014805394471,2
1735646014903270672,2
1735646015004452239,2
1735646015104937097,2
1735646015205041735,2
1735646015304741197,2
1735646015405091991,2
1735646015508989059,2
1735646015605695605,2
1735646015703993946,2
1735646015804860858,2
1735646015904576921,2
1735646016004572944,2
1735646016104737005,2
1735646016202540547,2
1735646016305560344,2
1735646016404611239,2
1735646016504315330,2
1735646016605297780,2
1735646016702403823,2
1735646016804577528,2
1735646016904188293,2
1735646017004028241,2
1735646017104211618,2
1735646017204377693,2
1735646017304235244,2
1735646017404821636,2
1735646017504151879,2
1735646017605032055,2
1735646017704943679,2
1735646017803200081,2
1735646017904690592,2
1735646018004853391,2
1735646018102746874,2
1735646018204192883,2
1735646018304495998,0
1735646018404523480,0
1735646018503563806,0
1735646018604129337,0
1735646018704479700,0
1735646018803687702,0
1735646018902733718,0
1735646019002863655,0
1735646019103670122,0
1735646019203667669,0
1735646019303873099,0
1735646019404152819,0
1735646019503197833,1
1735646019602577700,2
1735646019702330934,3
1735646019801923394,4
1735646019903943368,5
