%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.buttons0,field.buttons1,field.buttons2,field.buttons3
1735646411655030048,18689,0,,0.0,0.0,0,0,0,0
1735646411767147671,18690,0,,0.0,0.0,0,0,0,0
1735646411880765201,18691,0,,0.0,0.0,0,0,0,0
1735646411986434267,18692,0,,0.0,0.0,0,0,0,0
1735646412096140530,18693,0,,0.0,0.0,0,0,0,0
1735646412207113504,18694,0,,0.0,0.0,0,0,0,0
1735646412322954131,18695,0,,0.0,0.0,0,0,0,0
1735646412432551640,18696,0,,0.0,0.0,0,0,0,0
1735646412557380063,18697,0,,0.0,0.0,0,0,0,0
1735646412657575423,18698,0,,0.0,0.0,0,0,0,0
1735646412762455451,18699,0,,0.0,0.0,0,0,0,0
1735646412874637586,18700,0,,0.0,0.0,0,0,0,0
1735646412993259178,18701,0,,0.0,0.0,0,0,0,0
1735646413099525183,18702,0,,0.0,0.0,0,0,0,0
1735646413211258081,18703,0,,0.0,0.0,0,0,0,0
1735646413328984187,18704,0,,0.0,0.0,0,0,0,0
1735646413445071410,18705,0,,0.0,0.0,0,0,0,0
1735646413546028519,18706,0,,0.0,0.0,0,0,0,0
1735646413654858179,18707,0,,0.0,0.0,0,0,0,0
1735646413769121091,18708,0,,0.0,0.0,0,0,0,0
1735646413886511112,18709,0,,0.0,0.0,0,0,0,0
1735646413989499704,18710,0,,0.0,0.0,0,0,0,0
1735646415063131639,18711,0,,0.0,0.0,0,0,0,0
1735646415063632243,18712,0,,0.0,0.0,0,0,0,0
1735646415064183994,18713,0,,0.0,0.0,0,0,0,0
1735646415064588898,18714,0,,0.0,0.0,0,0,0,0
1735646415065582653,18715,0,,0.0,0.0,0,0,0,0
1735646415065590618,18716,0,,0.0,0.0,0,0,0,0
1735646415066351464,18717,0,,0.0,0.0,0,0,0,0
1735646415073843870,18718,0,,0.0,0.0,0,0,0,0
1735646415074660400,18719,0,,0.0,0.0,0,0,0,0
1735646415075674363,18720,0,,0.0,0.0,0,0,0,0
1735646415195321125,18721,0,,0.0,0.0,0,0,0,0
1735646415308360530,18722,0,,0.0,0.0,0,0,0,0
1735646415417691800,18723,0,,0.0,0.0,0,0,0,0
1735646415525694704,18724,0,,0.0,0.0,0,0,0,0
1735646415646872073,18725,0,,0.0,0.0,0,0,0,0
1735646415757361528,18726,0,,0.0,0.0,0,0,0,0
1735646415862516068,18727,0,,0.0,0.0,0,0,0,0
1735646415972006497,18728,0,,0.0,0.0,0,0,0,0
1735646416084386520,18729,0,,0.0,0.0,0,0,0,0
1735646416194742474,18730,0,,0.0,0.0,0,0,0,0
1735646416308092908,18731,0,,0.0,0.0,0,0,0,0
1735646416412314260,18732,0,,0.0,0.0,0,0,0,0
1735646416527400409,18733,0,,0.0,0.0,0,0,0,0
1735646416642775232,18734,0,,0.0,0.0,0,0,0,0
1735646416750125936,18735,0,,0.0,0.0,0,0,0,0
1735646416863803667,18736,0,,0.0,0.0,0,0,0,0
1735646416974388914,18737,0,,0.0,0.0,0,0,0,0
1735646417080916106,18738,0,,0.0,0.0,0,0,0,0
1735646417201517821,18739,0,,0.0,0.0,0,0,0,0
1735646417306492925,18740,0,,0.0,0.0,0,0,0,0
1735646417421239244,18741,0,,0.0,0.0,0,0,0,0
1735646417533918723,18742,0,,0.0,0.0,0,0,0,0
1735646417636427895,18743,0,,0.0,0.0,0,0,0,0
1735646417749683270,18744,0,,0.0,0.0,0,0,0,0
1735646417862526078,18745,0,,0.0,0.0,0,0,0,0
1735646417971147882,18746,0,,0.0,0.0,0,0,0,0
1735646418088568787,18747,0,,0.0,0.0,0,0,0,0
1735646418194952971,18748,0,,0.0,0.0,0,0,0,0
1735646418307390244,18749,0,,0.0,0.0,0,0,0,0
1735646418415504672,18750,0,,0.0,0.0,0,0,0,0
1735646418534535736,18751,0,,0.0,0.0,0,0,0,0
1735646418635167937,18752,0,,0.0,0.0,0,0,0,0
1735646418747893744,18753,0,,0.0,0.0,0,0,0,0
1735646418859390244,18754,0,,0.0,0.0,0,0,0,0
1735646418975607118,18755,0,,0.0,0.0,0,0,0,0
1735646419088477760,18756,0,,0.0,0.0,0,0,0,0
1735646419192148314,18757,0,,0.0,0.0,0,0,0,0
1735646419314893198,18758,0,,0.0,0.0,0,0,0,0
1735646419415402137,18759,0,,0.0,0.0,0,0,0,0
1735646419530392959,18760,0,,0.0,0.0,0,0,0,0
1735646419644991291,18761,0,,0.0,0.0,0,0,0,0
1735646419754226796,18762,0,,0.0,0.0,0,0,0,0
1735646419857534757,18763,0,,0.0,0.0,0,0,0,0
1735646419969060942,18764,0,,0.0,0.0,0,0,0,0
1735646420084373103,18765,0,,0.0,0.0,0,0,0,0
1735646420192911443,18766,0,,0.0,0.0,0,0,0,0
1735646420302319263,18767,0,,0.0,0.0,0,0,0,0
1735646420413240028,18768,0,,0.0,0.0,0,0,0,0
1735646420530401947,18769,0,,0.0,0.0,0,0,0,0
1735646420643485733,18770,0,,0.0,0.0,0,0,0,0
1735646420746935522,18771,0,,0.0,0.0,0,0,0,0
1735646420863230196,18772,0,,0.0,0.0,0,0,0,0
1735646420973206319,18773,0,,0.0,0.0,0,0,0,0
1735646421080168758,18774,0,,0.0,0.0,0,0,0,0
1735646421186952678,18775,0,,0.0,0.0,0,0,0,0
1735646421304499336,18776,0,,0.0,0.0,0,0,0,0
1735646421420256798,18777,0,,0.0,0.0,0,0,0,0
1735646421523505758,18778,0,,0.0,0.0,0,0,0,0
1735646421638452862,18779,0,,0.0,0.0,0,0,0,0
1735646421756061966,18780,0,,0.0,0.0,0,0,0,0
1735646421860181951,18781,0,,0.0,0.0,0,0,0,0
1735646421972889509,18782,0,,0.0,0.0,0,0,0,0
1735646422088359291,18783,0,,0.0,0.0,0,0,0,0
1735646422194638891,18784,0,,0.0,0.0,0,0,0,0
1735646422313178805,18785,0,,0.0,0.0,0,0,0,0
1735646422412493153,18786,0,,0.0,0.0,0,0,0,0
1735646422528472855,18787,0,,0.0,0.0,0,0,0,0
1735646422645128253,18788,0,,0.0,0.0,0,0,0,0
1735646422751178481,18789,0,,0.0,0.0,0,0,0,0
1735646422858336929,18790,0,,0.0,0.0,0,0,0,0
1735646422977924409,18791,0,,0.0,0.0,0,0,0,0
1735646423081160810,18792,0,,0.0,0.0,0,0,0,0
1735646423192859115,18793,0,,0.0,0.0,0,0,0,0
1735646423311114031,18794,0,,0.0,0.0,0,0,0,0
1735646423411379206,18795,0,,0.0,0.0,0,0,0,0
1735646423536482653,18796,0,,0.0,0.0,0,0,0,0
1735646423637149054,18797,0,,0.0,0.0,0,0,0,0
1735646423747727247,18798,0,,0.0,0.0,0,0,0,0
1735646423862905508,18799,0,,0.0,0.0,0,0,0,1
1735646424042902095,18800,0,,0.0,0.0,0,0,0,1
1735646424084796320,18801,0,,0.0,0.0,0,0,0,1
1735646424196535583,18802,0,,0.0,0.0,0,0,0,1
1735646424291475672,18803,0,,0.0,0.0,0,0,0,1
1735646424406223903,18804,0,,0.0,0.0,0,0,0,1
1735646424496616030,18805,0,,0.0,0.0,0,0,0,1
1735646424615921771,18806,0,,0.0,0.0,0,0,0,1
1735646424706737658,18807,0,,0.0,0.0,0,0,0,1
1735646424820922415,18808,0,,0.0,0.0,0,0,0,1
1735646424928386915,18809,0,,0.0,0.0,0,0,0,1
1735646425037285750,18810,0,,0.0,0.0,0,0,0,1
1735646425151164984,18811,0,,0.0,0.0,0,0,0,1
1735646425264512533,18812,0,,0.0,0.0,0,0,0,1
1735646425380608489,18813,0,,0.0,0.0,0,0,0,1
1735646425488296801,18814,0,,0.0,0.0,0,0,0,1
1735646425596668512,18815,0,,0.0,0.0,0,0,0,1
1735646425706572145,18816,0,,0.0,0.0,0,0,0,1
1735646425817435076,18817,0,,0.0,0.0,0,0,0,1
1735646425928633021,18818,0,,0.0,0.0,0,0,0,1
1735646426042197841,18819,0,,0.0,0.0,0,0,0,1
1735646426150348808,18820,0,,0.0,0.0,0,0,0,1
1735646426257390281,18821,0,,0.0,0.0,0,0,0,1
1735646426374848157,18822,0,,0.0,0.0,0,0,0,1
1735646426486002920,18823,0,,0.0,0.0,0,0,0,1
1735646426591090777,18824,0,,0.0,0.0,0,0,0,1
1735646426703168973,18825,0,,0.0,0.0,0,0,0,1
1735646426819143231,18826,0,,0.0,0.0,0,0,0,1
1735646426928165121,18827,0,,0.0,0.0,0,0,0,1
1735646427042818405,18828,0,,0.0,0.0,0,0,0,1
1735646427151780654,18829,0,,0.0,0.0,0,0,0,1
1735646427264321294,18830,0,,0.0,0.0,0,0,0,1
1735646427372107794,18831,0,,0.0,0.0,0,0,0,1
1735646427484292352,18832,0,,0.0,0.0,0,0,0,1
1735646427600017531,18833,0,,0.0,0.0,0,0,0,0
1735646427706649562,18834,0,,0.0,0.0,0,0,0,0
1735646427824772014,18835,0,,0.0,0.0,0,0,0,0
1735646427925128755,18836,0,,0.0,0.0,0,0,0,0
1735646428043752602,18837,0,,0.0,0.0,0,0,0,0
1735646428151797893,18838,0,,0.0,0.0,0,0,0,0
1735646428258484648,18839,0,,0.0,0.0,0,0,0,0
1735646428375230574,18840,0,,0.0,0.0,0,0,0,0
1735646428484491248,18841,0,,0.0,0.0,0,0,0,0
1735646428594256231,18842,0,,0.0,0.0,0,0,0,0
1735646428702889020,18843,0,,0.0,0.0,0,0,0,0
1735646428818618747,18844,0,,0.0,0.0,0,0,0,0
1735646428932355615,18845,0,,0.0,0.0,0,0,0,0
1735646429037531141,18846,0,,0.0,0.0,0,0,0,0
1735646429149923033,18847,0,,0.0,0.0,0,0,0,0
1735646429266082443,18848,0,,0.0,0.0,0,0,0,0
1735646429382804284,18849,0,,0.0,0.0,0,0,0,0
1735646429482325853,18850,0,,0.0,0.0,0,0,0,0
1735646429602111203,18851,0,,0.0,0.0,0,0,0,0
1735646429707556068,18852,0,,0.0,0.0,0,0,0,0
1735646429815235559,18853,0,,0.0,0.0,0,0,0,0
1735646429925374710,18854,0,,0.0,0.0,0,0,0,0
1735646430040991847,18855,0,,0.0,0.0,0,0,0,0
1735646430158898877,18856,0,,0.0,0.0,0,0,0,0
1735646430263772002,18857,0,,0.0,0.0,0,0,0,0
1735646430377401922,18858,0,,0.0,0.0,0,0,0,0
1735646430486301305,18859,0,,0.0,0.0,0,0,0,0
1735646430597034859,18860,0,,0.0,0.0,0,0,0,0
1735646430710873422,18861,0,,0.0,0.0,0,0,0,0
1735646430816500942,18862,0,,0.0,0.0,0,0,0,0
1735646430926132597,18863,0,,0.0,0.0,0,0,0,0
1735646431045537683,18864,0,,0.0,0.0,0,0,0,0
1735646431152312889,18865,0,,0.0,0.0,0,0,0,0
1735646431260622562,18866,0,,0.0,0.0,0,0,0,0
1735646431378419725,18867,0,,0.0,0.0,0,0,0,0
1735646431487137506,18868,0,,0.0,0.0,0,0,0,0
1735646431596752962,18869,0,,0.0,0.0,0,1,0,0
1735646431702817167,18870,0,,0.0,0.0,0,0,0,0
1735646431821633392,18871,0,,0.0,0.0,0,0,0,0
1735646431927240195,18872,0,,0.0,0.0,0,0,0,0
1735646432040155427,18873,0,,0.0,0.0,0,0,0,0
1735646432150989052,18874,0,,0.0,0.0,0,0,0,0
1735646432257923159,18875,0,,0.0,0.0,0,0,1,0
1735646432357721734,18876,0,,0.0,0.0,0,0,1,1
1735646432476224769,18877,0,,0.0,0.0,0,0,1,1
1735646432583636910,18878,0,,0.0,0.0,0,0,1,1
1735646432691233317,18879,0,,0.0,0.0,0,0,1,1
1735646432801189195,18880,0,,0.0,0.0,0,0,1,1
1735646432918730788,18881,0,,0.0,0.0,0,0,1,1
1735646433027778633,18882,0,,0.0,0.0,0,0,1,1
1735646433134766003,18883,0,,0.0,0.0,0,0,1,1
1735646433250505566,18884,0,,0.0,0.0,0,0,1,1
1735646433363583678,18885,0,,0.0,0.0,0,0,1,1
1735646433472186625,18886,0,,0.0,0.0,0,0,1,1
1735646433582874326,18887,0,,0.0,0.0,0,0,1,1
1735646433691916662,18888,0,,0.0,0.0,0,0,1,1
1735646433814635865,18889,0,,0.0,0.0,0,0,1,1
1735646433918181441,18890,0,,0.0,0.0,0,0,1,1
1735646434023445177,18891,0,,0.0,0.0,0,0,1,1
1735646434132345959,18892,0,,0.0,0.0,0,0,1,1
1735646434249888996,18893,0,,0.0,0.0,0,0,1,1
1735646434359913147,18894,0,,0.0,0.0,0,0,1,1
1735646434470179073,18895,0,,0.0,0.0,0,0,1,0
1735646434578895365,18896,0,,0.0,0.0,0,0,1,0
1735646434692476447,18897,0,,0.0,0.0,0,0,1,0
1735646434808055729,18898,0,,0.0,0.0,1,0,1,0
